English,Kanji,Hiragana,Times Correct
Go,行く,いく
See,見る,みる
Many,多い,おおい
Home,家,いえ
This,これ,これ
That,それ,それ
I,私,わたし
Work,仕事,しごと
When,いつ,いつ
Do,する,する
Leave,出る,でる
Use,使う,つかう
Place,所,ところ
Make,作る,つくる
Think,思う,おもう
Have,持つ,もつ
Buy,買う,かう
Time,時間,じかん
Know,知る,しる
Same,同じ,おなじ
Now,今,いま
New,新しい,あたらしい
Become,なる,なる
Yet,まだ,まだ
After,あと,あと
Hear,聞く,きく
Say,言う,いう
Few,少ない,少ない
High,高い,たかい
Child,子供,こども
So,そう,そう
Already,もう,もう
Student,学生,がくせい
Hot,熱い,あつい
Please,どうぞ,どうぞ
Afternoon,午後,ごご
Long,長い,ながい
Book,本,ほん
This Year,今年,ことし
Often,よく,よく
She,彼女,かのじょ
How,どう,どう
Word,言葉,ことば
Face,顔,かお
Finish,終わる,おわる,
One,一つ,ひとつ,
Give,あげる,あげる,
Such,こう,こう,
School,学校,がっこう,
Be Given,くれる,くれる,
Start,始める,はじめる,
Get Up,起きる,おきる,
Spring,春,はる,
Morning,午前,ごぜん,
Different,別,べつ,
Where,どこ,どこ,
Room,部屋,へや,
Young,若い,わかい,
Car,車,くるま,
Put,置く,おく,
